127.0.0.1 - - [11/May/2023:06:26:53 +0200] "GET / HTTP/1.1" 404 681
0:0:0:0:0:0:0:1 - - [11/May/2023:06:26:54 +0200] "GET /test/addQuote HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/May/2023:06:26:54 +0200] "GET /test/registration HTTP/1.1" 200 10800
0:0:0:0:0:0:0:1 - - [11/May/2023:06:26:54 +0200] "GET /favicon.ico HTTP/1.1" 404 692
0:0:0:0:0:0:0:1 - - [11/May/2023:06:26:59 +0200] "POST /test/auth HTTP/1.1" 500 1490
0:0:0:0:0:0:0:1 - - [11/May/2023:06:27:12 +0200] "POST /test/auth HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/May/2023:06:27:12 +0200] "GET /test/sharedQuotes HTTP/1.1" 200 12158
0:0:0:0:0:0:0:1 - - [11/May/2023:06:27:13 +0200] "GET /test/navBar HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [11/May/2023:06:27:13 +0200] "GET /test/messageNotification HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [11/May/2023:06:27:14 +0200] "GET /test/messageNotification HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [11/May/2023:06:27:14 +0200] "GET /test/navBar HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [11/May/2023:06:27:15 +0200] "GET /test/messageNotification HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [11/May/2023:06:27:15 +0200] "GET /test/navBar HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [11/May/2023:06:27:16 +0200] "GET /test/messageNotification HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [11/May/2023:06:27:16 +0200] "GET /test/navBar HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [11/May/2023:06:27:17 +0200] "GET /test/messageNotification HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [11/May/2023:06:27:17 +0200] "GET /test/navBar HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [11/May/2023:06:27:18 +0200] "GET /test/messageNotification HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [11/May/2023:06:27:18 +0200] "GET /test/navBar HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [11/May/2023:06:27:19 +0200] "GET /test/messageNotification HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [11/May/2023:06:27:19 +0200] "GET /test/navBar HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [11/May/2023:06:27:20 +0200] "GET /test/messageNotification HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [11/May/2023:06:27:20 +0200] "GET /test/navBar HTTP/1.1" 200 2
