127.0.0.1 - - [12/May/2023:02:14:16 +0200] "GET / HTTP/1.1" 404 681
0:0:0:0:0:0:0:1 - - [12/May/2023:02:14:16 +0200] "GET /test/addQuote HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/May/2023:02:14:17 +0200] "GET /test/registration HTTP/1.1" 200 10800
0:0:0:0:0:0:0:1 - - [12/May/2023:02:14:17 +0200] "GET /favicon.ico HTTP/1.1" 404 692
0:0:0:0:0:0:0:1 - - [12/May/2023:02:14:22 +0200] "POST /test/auth HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/May/2023:02:14:22 +0200] "GET /test/sharedQuotes HTTP/1.1" 200 12202
0:0:0:0:0:0:0:1 - - [12/May/2023:02:14:24 +0200] "GET /test/messageNotification HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [12/May/2023:02:14:24 +0200] "GET /test/navBar HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [12/May/2023:02:14:24 +0200] "GET /test/addQuote HTTP/1.1" 200 10644
0:0:0:0:0:0:0:1 - - [12/May/2023:02:14:25 +0200] "GET /test/navBar HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [12/May/2023:02:14:25 +0200] "GET /test/messageNotification HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [12/May/2023:02:14:26 +0200] "GET /test/messageNotification HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [12/May/2023:02:14:26 +0200] "GET /test/navBar HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [12/May/2023:02:14:27 +0200] "GET /test/navBar HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [12/May/2023:02:14:27 +0200] "GET /test/messageNotification HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [12/May/2023:02:14:28 +0200] "GET /test/messageNotification HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [12/May/2023:02:14:28 +0200] "GET /test/navBar HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [12/May/2023:02:14:29 +0200] "GET /test/messageNotification HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [12/May/2023:02:14:29 +0200] "GET /test/navBar HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [12/May/2023:02:14:34 +0200] "GET /test/addQuote HTTP/1.1" 200 10644
0:0:0:0:0:0:0:1 - - [12/May/2023:02:14:35 +0200] "GET /test/navBar HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [12/May/2023:02:14:35 +0200] "GET /test/messageNotification HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [12/May/2023:02:14:37 +0200] "GET /test/navBar HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [12/May/2023:02:14:37 +0200] "GET /test/messageNotification HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [12/May/2023:02:14:38 +0200] "GET /test/navBar HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [12/May/2023:02:14:38 +0200] "GET /test/messageNotification HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [12/May/2023:02:14:39 +0200] "GET /test/navBar HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [12/May/2023:02:14:39 +0200] "GET /test/messageNotification HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [12/May/2023:02:14:40 +0200] "GET /test/messageNotification HTTP/1.1" 200 2
